Data,Novos casos,Leitos UTI ocupados,Leitos clínicos ocupados,Ativos,Suspeitos ativos,Novos curados,Novos testes,Novos óbitos
22/07/2020,27.857142857142858,21.142857142857142,31.285714285714285,93.28571428571429,68.28571428571429,24.857142857142858,58.0,1.0
23/07/2020,30.0,20.857142857142858,31.285714285714285,97.28571428571429,67.85714285714286,24.428571428571427,63.0,3.0
24/07/2020,31.857142857142858,21.428571428571427,30.571428571428573,101.42857142857143,65.0,26.0,67.28571428571429,1.0
25/07/2020,35.0,21.428571428571427,29.142857142857142,105.42857142857143,62.285714285714285,29.428571428571427,82.57142857142857,2.0
26/07/2020,33.57142857142857,21.285714285714285,28.714285714285715,107.28571428571429,59.714285714285715,30.142857142857142,90.0,1.0
27/07/2020,35.285714285714285,21.571428571428573,28.428571428571427,110.57142857142857,57.714285714285715,30.285714285714285,99.71428571428571,1.0
28/07/2020,35.0,21.857142857142858,29.0,111.57142857142857,57.42857142857143,32.285714285714285,101.28571428571429,0.0
29/07/2020,35.714285714285715,22.142857142857142,30.0,112.85714285714286,58.57142857142857,33.0,102.71428571428571,0.0
30/07/2020,35.714285714285715,22.142857142857142,29.142857142857142,111.0,58.0,36.42857142857143,102.14285714285714,1.0
31/07/2020,35.714285714285715,21.714285714285715,28.285714285714285,108.42857142857143,57.857142857142854,37.285714285714285,112.57142857142857,0.0
01/08/2020,32.857142857142854,22.142857142857142,28.0,105.71428571428571,57.42857142857143,34.857142857142854,114.57142857142857,0.0
02/08/2020,32.714285714285715,22.714285714285715,27.571428571428573,104.28571428571429,56.42857142857143,33.57142857142857,109.0,0.0
03/08/2020,31.714285714285715,22.714285714285715,26.714285714285715,100.57142857142857,55.857142857142854,35.142857142857146,109.14285714285714,0.0
04/08/2020,29.714285714285715,22.0,25.714285714285715,96.0,52.857142857142854,33.857142857142854,113.71428571428571,1.0
05/08/2020,27.0,20.714285714285715,24.285714285714285,90.14285714285714,48.857142857142854,32.142857142857146,110.85714285714286,2.0
06/08/2020,24.571428571428573,19.714285714285715,23.428571428571427,85.42857142857143,45.42857142857143,28.714285714285715,114.42857142857143,0.0
07/08/2020,22.0,18.714285714285715,23.428571428571427,81.42857142857143,43.714285714285715,25.285714285714285,102.71428571428571,1.0
08/08/2020,20.857142857142858,17.571428571428573,23.571428571428573,76.42857142857143,42.285714285714285,25.142857142857142,92.57142857142857,0.0
09/08/2020,20.285714285714285,16.428571428571427,23.285714285714285,72.28571428571429,41.142857142857146,23.714285714285715,89.0,0.0
10/08/2020,19.857142857142858,15.285714285714286,23.0,70.14285714285714,38.42857142857143,21.285714285714285,88.14285714285714,0.0
11/08/2020,18.428571428571427,14.428571428571429,22.428571428571427,68.0,36.0,20.142857142857142,83.85714285714286,0.0
12/08/2020,16.857142857142858,13.857142857142858,21.857142857142858,67.14285714285714,34.285714285714285,17.142857142857142,91.0,3.0
13/08/2020,15.714285714285714,13.428571428571429,21.571428571428573,65.71428571428571,33.57142857142857,16.571428571428573,90.0,0.0
14/08/2020,16.0,12.714285714285714,20.428571428571427,64.71428571428571,31.714285714285715,16.285714285714285,96.0,2.0
15/08/2020,15.714285714285714,12.285714285714286,19.571428571428573,62.57142857142857,29.857142857142858,17.142857142857142,92.57142857142857,0.0
16/08/2020,15.857142857142858,11.857142857142858,18.857142857142858,60.285714285714285,27.857142857142858,17.285714285714285,94.85714285714286,1.0
17/08/2020,15.285714285714286,10.714285714285714,18.428571428571427,56.42857142857143,27.142857142857142,18.142857142857142,95.0,0.0
18/08/2020,15.0,10.0,18.285714285714285,54.42857142857143,27.285714285714285,16.0,98.42857142857143,0.0
19/08/2020,16.142857142857142,9.857142857142858,18.714285714285715,52.857142857142854,28.428571428571427,17.142857142857142,101.42857142857143,0.0
20/08/2020,17.142857142857142,9.428571428571429,19.0,52.857142857142854,29.285714285714285,16.571428571428573,93.14285714285714,0.0
21/08/2020,15.428571428571429,9.142857142857142,20.285714285714285,51.857142857142854,30.857142857142858,16.142857142857142,77.57142857142857,0.0
22/08/2020,16.0,8.857142857142858,20.428571428571427,53.142857142857146,31.714285714285715,14.428571428571429,89.28571428571429,0.0
23/08/2020,16.428571428571427,8.571428571428571,20.428571428571427,54.42857142857143,32.714285714285715,14.857142857142858,87.42857142857143,1.0
24/08/2020,16.714285714285715,9.142857142857142,19.857142857142858,55.714285714285715,33.57142857142857,15.142857142857142,88.71428571428571,1.0
25/08/2020,16.0,9.571428571428571,19.285714285714285,55.142857142857146,34.42857142857143,16.142857142857142,90.14285714285714,0.0
26/08/2020,14.857142857142858,9.0,18.714285714285715,53.42857142857143,31.285714285714285,15.857142857142858,81.0,2.0
27/08/2020,13.285714285714286,8.571428571428571,18.428571428571427,50.142857142857146,29.142857142857142,15.714285714285714,81.57142857142857,1.0
