Data,SP,MogiGuacu,Dia da semana
5/29/2020,0.47,0.44,Sexta-feira
5/30/2020,0.51,0.47,Sábado
5/31/2020,0.53,0.5,Domingo
6/01/2020,0.47,0.44,Segunda-feira
6/02/2020,0.48,0.44,Terça-feira
6/03/2020,0.47,0.43,Quarta-feira
6/04/2020,0.47,0.44,Quinta-Feira
6/05/2020,0.46,0.42,Sexta-feira
6/06/2020,0.49,0.45,Sábado
6/07/2020,0.52,0.49,Domingo
6/08/2020,0.47,0.44,Segunda-feira
6/09/2020,0.47,0.43,Terça-feira
6/10/2020,0.46,0.4,Quarta-feira
6/11/2020,0.48,0.45,Quinta-Feira
6/12/2020,0.46,0.41,Sexta-feira
6/13/2020,0.48,0.43,Sábado
6/14/2020,0.52,0.47,Domingo
6/15/2020,0.47,0.42,Segunda-feira
6/16/2020,0.46,0.42,Terça-feira
6/17/2020,0.46,0.42,Quarta-feira
6/18/2020,0.45,0.41,Quinta-Feira
6/19/2020,0.45,0.4,Sexta-feira
6/20/2020,0.47,0.44,Sábado
6/21/2020,0.52,0.48,Domingo
6/22/2020,0.46,0.42,Segunda-feira
6/23/2020,0.46,0.42,Terça-feira
6/24/2020,0.46,0.43,Quarta-feira
6/25/2020,0.45,0.43,Quinta-Feira
6/26/2020,0.45,0.42,Sexta-feira
6/27/2020,0.48,0.44,Sábado
6/28/2020,0.52,0.49,Domingo
6/29/2020,0.46,0.46,Segunda-feira
6/30/2020,0.46,0.43,Terça-feira
7/01/2020,0.45,0.42,Quarta-feira
7/02/2020,0.45,0.42,Quinta-Feira
7/03/2020,0.45,0.41,Sexta-feira
7/04/2020,0.47,0.44,Sábado
7/05/2020,0.51,0.48,Domingo
7/06/2020,0.45,0.42,Segunda-feira
7/07/2020,0.45,0.42,Terça-feira
7/08/2020,0.45,0.42,Quarta-feira
7/09/2020,0.45,0.42,Quinta-Feira
7/10/2020,0.44,0.4,Sexta-feira
7/11/2020,0.46,0.44,Sábado
7/12/2020,0.51,0.48,Domingo
7/13/2020,0.45,0.42,Segunda-feira
7/14/2020,0.45,0.42,Terça-feira
7/15/2020,0.45,0.41,Quarta-feira
7/16/2020,0.45,0.42,Quinta-Feira
7/17/2020,0.44,0.42,Sexta-feira
7/18/2020,0.46,0.44,Sábado
7/19/2020,0.5,0.49,Domingo
7/20/2020,0.43,0.42,Segunda-feira
7/21/2020,0.43,0.41,Terça-feira
7/22/2020,0.43,0.4,Quarta-feira
7/23/2020,0.43,0.4,Quinta-Feira
7/24/2020,0.42,0.39,Sexta-feira
7/25/2020,0.45,0.44,Sábado
7/26/2020,0.51,0.49,Domingo
7/27/2020,0.44,0.41,Segunda-feira
7/28/2020,0.43,0.41,Terça-feira
7/29/2020,0.43,0.41,Quarta-feira
7/30/2020,0.43,0.41,Quinta-Feira
7/31/2020,0.43,0.41,Sexta-feira
8/01/2020,0.45,0.41,Sábado
8/02/2020,0.51,0.48,Domingo
8/03/2020,0.43,0.4,Segunda-feira
8/04/2020,0.43,0.4,Terça-feira
8/05/2020,0.42,0.39,Quarta-feira
8/06/2020,0.42,0.31,Quinta-Feira
8/07/2020,0.41,0.38,Sexta-feira
8/08/2020,0.43,0.41,Sábado
8/09/2020,0.48,0.46,Domingo
8/10/2020,0.43,0.41,Segunda-feira
8/11/2020,0.43,0.4,Terça-feira
8/12/2020,0.42,0.4,Quarta-feira
8/13/2020,0.42,0.39,Quinta-Feira
8/14/2020,0.42,0.41,Sexta-feira
8/15/2020,0.45,0.42,Sábado
8/16/2020,0.52,0.49,Domingo
8/17/2020,0.43,0.41,Segunda-feira
8/18/2020,0.44,0.4,Terça-feira
8/19/2020,0.43,0.41,Quarta-feira
8/20/2020,0.43,0.4,Quinta-Feira
8/21/2020,0.42,0.4,Sexta-feira
8/22/2020,0.46,0.42,Sábado
8/23/2020,0.5,0.48,Domingo
8/24/2020,0.43,0.4,Segunda-feira
8/25/2020,0.43,0.4,Terça-feira
8/26/2020,0.42,0.4,Quarta-feira
8/27/2020,0.42,0.4,Quinta-Feira
8/28/2020,0.41,0.39,Sexta-feira
8/29/2020,0.43,0.4,Sábado
8/30/2020,0.48,0.46,Domingo
8/31/2020,0.42,0.39,Segunda-feira
9/01/2020,0.42,0.4,Terça-feira
9/02/2020,0.42,0.4,Quarta-feira
9/03/2020,0.41,0.39,Quinta-Feira
9/04/2020,0.4,0.35,Sexta-feira
9/05/2020,0.42,0.4,Sábado
9/06/2020,0.46,0.44,Domingo
9/07/2020,0.48,0.46,Segunda-feira
9/08/2020,0.41,0.38,Terça-feira
9/09/2020,0.42,0.39,Quarta-feira
9/10/2020,0.41,0.39,Quinta-Feira
9/11/2020,0.4,0.39,Sexta-feira
9/12/2020,0.42,0.41,Sábado
9/13/2020,0.48,0.45,Domingo
9/14/2020,0.41,0.39,Segunda-feira
9/15/2020,0.41,0.4,Terça-feira
9/16/2020,0.41,0.4,Quarta-feira
9/17/2020,0.41,0.4,Quinta-Feira
9/18/2020,0.41,0.39,Sexta-feira
9/19/2020,0.42,0.4,Sábado
9/20/2020,0.48,0.47,Domingo
9/21/2020,0.42,0.4,Segunda-feira
