Data;Município1;UF1;Escala de cor;Number of Records;Índice de isolamento;;
31/05/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,53;;
01/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
02/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
03/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
04/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
05/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
06/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,49;;
07/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,52;;
08/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
09/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
10/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
11/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
12/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
13/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
14/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,52;;
15/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
16/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
17/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
18/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
19/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
20/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
21/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,52;;
22/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
23/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
24/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
25/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
26/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
27/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
28/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,52;;
29/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
30/06/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
01/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
02/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
03/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
04/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,47;;
05/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,51;;
06/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
07/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
08/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
09/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
10/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,44;;
11/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
12/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,51;;
13/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
14/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
15/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
16/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
17/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,44;;
18/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
19/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,5;;
20/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
21/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
22/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
23/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
24/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,42;;
25/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
26/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,51;;
27/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,44;;
28/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
29/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
30/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
31/07/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
01/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
02/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,51;;
03/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
04/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
05/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,42;;
06/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,42;;
07/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,41;;
08/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
